Gene.Name	Enhancer	enh.chr	enh.start	enh.end
Cxcl11	chr5:92369052..92369453	chr5	92798078	92798479
Cxcl11	chr5:92370332..92370733	chr5	92799358	92799759
Cxcl11	chr5:92374704..92375105	chr5	92803730	92804131
Cxcl11	chr5:92375350..92375751	chr5	92804376	92804777
Cxcl16	chr11:70467902..70468303	chr11	70281404	70281805
Cxcl16	chr11:70482438..70482839	chr11	70295940	70296341
Cxcl16	chr11:70587111..70587512	chr11	70400613	70401014
Cxcl2	chr5:90696027..90696428	chr5	91125053	91125454
Cxcl2	chr5:90700167..90700568	chr5	91129193	91129594
Cxcl2	chr5:90717911..90718312	chr5	91146937	91147338
Cxcl2	chr5:90859535..90859936	chr5	91288561	91288962
Cxcl2	chr5:90875989..90876390	chr5	91305015	91305416
Cxcl2	chr5:90876777..90877178	chr5	91305803	91306204
Cxcl2	chr5:90880890..90881291	chr5	91309916	91310317
Cxcl2	chr5:90882235..90882636	chr5	91311261	91311662
Cxcl2	chr5:90898618..90899019	chr5	91327644	91328045
Cxcl2	chr5:90900213..90900614	chr5	91329239	91329640
Cxcl2	chr5:90900701..90901102	chr5	91329727	91330128
Cxcl3	chr5:90700167..90700568	chr5	91129193	91129594
Cxcl3	chr5:90717911..90718312	chr5	91146937	91147338
Cxcl3	chr5:90880890..90881291	chr5	91309916	91310317
Cxcl5	chr5:90589092..90589493	chr5	91018118	91018519
Cxcl9	chr5:92353639..92354040	chr5	92782665	92783066
Cxcl9	chr5:92368373..92368774	chr5	92797399	92797800
Cxcl9	chr5:92369052..92369453	chr5	92798078	92798479
Cxcl9	chr5:92370332..92370733	chr5	92799358	92799759
Cxcl9	chr5:92374704..92375105	chr5	92803730	92804131
Cyp1b1	chr17:79737530..79737931	chr17	80136870	80137271
Cyp1b1	chr17:80113493..80113894	chr17	80512833	80513234
D10Bwg1379e	chr10:18943272..18943673	chr10	18663078	18663479
D10Bwg1379e	chr10:18946470..18946871	chr10	18666276	18666677
D10Bwg1379e	chr10:18996362..18996763	chr10	18716168	18716569
D10Bwg1379e	chr10:19063423..19063824	chr10	18783229	18783630
D10Bwg1379e	chr10:19065233..19065634	chr10	18785039	18785440
D10Bwg1379e	chr10:19066481..19066882	chr10	18786287	18786688
D16Ertd472e	chr16:78473392..78473793	chr16	78473637	78474038
D17Wsu92e	chr17:27591809..27592210	chr17	27728754	27729155
D17Wsu92e	chr17:27824954..27825355	chr17	27961899	27962300
D17Wsu92e	chr17:27826011..27826412	chr17	27962956	27963357
Daxx	chr17:33902414..33902815	chr17	34039359	34039760
Daxx	chr17:33903366..33903767	chr17	34040311	34040712
Daxx	chr17:33903964..33904365	chr17	34040909	34041310
Dcbld2	chr16:58415248..58415649	chr16	58415361	58415762
Dcp1a	chr14:30357208..30357609	chr14	31170394	31170795
Dcp1a	chr14:30405775..30406176	chr14	31218961	31219362
Ddx19b	chr8:111527116..111527517	chr8	114051016	114051417
Ddx21	chr10:62066255..62066656	chr10	61529003	61529404
Ddx21	chr10:62323740..62324141	chr10	61786488	61786889
Ddx21	chr10:62339215..62339616	chr10	61801963	61802364
Ddx21	chr10:62501032..62501433	chr10	61963780	61964181
Ddx21	chr10:62503832..62504233	chr10	61966580	61966981
Ddx21	chr10:62506227..62506628	chr10	61968975	61969376
Dennd4a	chr9:65018525..65018926	chr9	64866332	64866733
Denr	chr5:123832404..123832805	chr5	124282413	124282814
Denr	chr5:123858514..123858915	chr5	124308523	124308924
Denr	chr5:123862320..123862721	chr5	124312329	124312730
Denr	chr5:123862627..123863028	chr5	124312636	124313037
Denr	chr5:123893504..123893905	chr5	124343513	124343914
Denr	chr5:123897383..123897784	chr5	124347392	124347793
Denr	chr5:124074928..124075329	chr5	124524937	124525338
Denr	chr5:124475781..124476182	chr5	124925790	124926191
Denr	chr5:124496841..124497242	chr5	124946850	124947251
Dhx15	chr5:52794273..52794674	chr5	53185512	53185913
Dnaja2	chr8:85554338..85554739	chr8	88078237	88078638
Dnaja2	chr8:85557350..85557751	chr8	88081249	88081650
Dnaja2	chr8:85559296..85559697	chr8	88083195	88083596
Dnaja2	chr8:86878560..86878961	chr8	89402459	89402860
Dnajb1	chr8:82201779..82202180	chr8	84725678	84726079
Dnajb1	chr8:83144616..83145017	chr8	85668515	85668916
Dnajb4	chr3:152120095..152120496	chr3	151783059	151783460
Dnajb4	chr3:152121523..152121924	chr3	151784487	151784888
Dnajc21	chr15:10758701..10759102	chr15	10688456	10688857
Dock4	chr12:40381184..40381585	chr12	41107771	41108172
Dock4	chr12:40536254..40536655	chr12	41262841	41263242
Dock4	chr12:40559109..40559510	chr12	41285696	41286097
Dock4	chr12:40569029..40569430	chr12	41295616	41296017
Dok7	chr5:35034646..35035047	chr5	35377295	35377696
Dok7	chr5:35037509..35037910	chr5	35380158	35380559
Dok7	chr5:35164403..35164804	chr5	35507052	35507453
Dot1l	chr10:80033431..80033832	chr10	79496176	79496577
Dot1l	chr10:80071066..80071467	chr10	79533811	79534212
Dot1l	chr10:80663690..80664091	chr10	80126435	80126836
Dot1l	chr10:80752037..80752438	chr10	80214782	80215183
Dot1l	chr10:80756431..80756832	chr10	80219176	80219577
Dot1l	chr10:80757041..80757442	chr10	80219786	80220187
Dot1l	chr10:80757704..80758105	chr10	80220449	80220850
Dot1l	chr10:80758710..80759111	chr10	80221455	80221856
Dot1l	chr10:80763576..80763977	chr10	80226321	80226722
Dot1l	chr10:80934589..80934990	chr10	80397334	80397735
Dot1l	chr10:80939126..80939527	chr10	80401871	80402272
Dot1l	chr10:80939652..80940053	chr10	80402397	80402798
Dot1l	chr10:80940651..80941052	chr10	80403396	80403797
Dot1l	chr10:80941810..80942211	chr10	80404555	80404956
Dot1l	chr10:80963240..80963641	chr10	80425985	80426386
Dot1l	chr10:80963668..80964069	chr10	80426413	80426814
Dot1l	chr10:80985529..80985930	chr10	80448274	80448675
Dot1l	chr10:80986107..80986508	chr10	80448852	80449253
Dot1l	chr10:81102385..81102786	chr10	80565130	80565531
Dot1l	chr10:81145724..81146125	chr10	80608469	80608870
Dot1l	chr10:81297882..81298283	chr10	80760627	80761028
Dst	chr1:33903527..33903928	chr1	33960372	33960773
Dtnb	chr12:3823395..3823796	chr12	3823395	3823796
Dtwd1	chr2:125972088..125972489	chr2	125797824	125798225
Dtwd1	chr2:126231702..126232103	chr2	126057438	126057839
Dtwd1	chr2:126310085..126310486	chr2	126135821	126136222
Dtwd1	chr2:126477659..126478060	chr2	126303395	126303796
Dtx2	chr5:136007781..136008182	chr5	136483651	136484052
Dtx2	chr5:136034913..136035314	chr5	136510783	136511184
Dusp1	chr17:26512464..26512865	chr17	26649409	26649810
Dusp1	chr17:26514655..26515056	chr17	26651600	26652001
Dusp1	chr17:26533903..26534304	chr17	26670848	26671249
Dusp1	chr17:26538070..26538471	chr17	26675015	26675416
Dusp1	chr17:26570808..26571209	chr17	26707753	26708154
Dusp1	chr17:26601978..26602379	chr17	26738923	26739324
Dusp16	chr6:134670840..134671241	chr6	134620858	134621259
Dusp16	chr6:134703412..134703813	chr6	134653430	134653831
Dusp16	chr6:134796366..134796767	chr6	134746384	134746785
Dusp4	chr8:34636345..34636746	chr8	35699399	35699800
Dusp4	chr8:34689036..34689437	chr8	35752090	35752491
Dusp4	chr8:34756936..34757337	chr8	35819990	35820391
Dusp4	chr8:34759004..34759405	chr8	35822058	35822459
Dusp4	chr8:34761893..34762294	chr8	35824947	35825348
Dusp4	chr8:34762741..34763142	chr8	35825795	35826196
Dusp4	chr8:34763147..34763548	chr8	35826201	35826602
Dusp4	chr8:34764887..34765288	chr8	35827941	35828342
Dusp4	chr8:34811187..34811588	chr8	35874241	35874642
Dusp4	chr8:34815155..34815556	chr8	35878209	35878610
Dusp5	chr19:53273387..53273788	chr19	53347877	53348278
Dusp5	chr19:53424614..53425015	chr19	53499104	53499505
Dusp5	chr19:53433985..53434386	chr19	53508475	53508876
Dusp5	chr19:53564271..53564672	chr19	53638761	53639162
Dusp5	chr19:53565861..53566262	chr19	53640351	53640752
Edn1	chr13:42245593..42245994	chr13	42340962	42341363
Edn1	chr13:42246537..42246938	chr13	42341906	42342307
Edn1	chr13:42248616..42249017	chr13	42343985	42344386
Edn1	chr13:42258464..42258865	chr13	42353833	42354234
Edn1	chr13:43032360..43032761	chr13	43127729	43128130
Eea1	chr10:96015733..96016134	chr10	95478367	95478768
Egr2	chr10:67598488..67598889	chr10	67061236	67061637
Ehd1	chr19:5724492..5724893	chr19	5724492	5724893
Ehd1	chr19:5803511..5803912	chr19	5803511	5803912
Ehd1	chr19:5925501..5925902	chr19	5925501	5925902
Ehd1	chr19:5929541..5929942	chr19	5929541	5929942
Ehd1	chr19:5931597..5931998	chr19	5931597	5931998
Ehd1	chr19:5952244..5952645	chr19	5952244	5952645
Ehd1	chr19:5954593..5954994	chr19	5954593	5954994
Ehd1	chr19:6277641..6278042	chr19	6277641	6278042
Ehd1	chr19:6278067..6278468	chr19	6278067	6278468
Eif1a	chr18:46447592..46447993	chr18	46607246	46607647
Eif1a	chr18:46448729..46449130	chr18	46608383	46608784
Eif4e	chr3:138519224..138519625	chr3	138182188	138182589
Eif4e2	chr1:87180276..87180677	chr1	89076851	89077252
Eif4e2	chr1:87639720..87640121	chr1	89536295	89536696
Eif4g2	chr7:110164748..110165149	chr7	117308262	117308663
Eif4g2	chr7:110166187..110166588	chr7	117309701	117310102
Eif4g2	chr7:110379323..110379724	chr7	117522837	117523238
Eif4g2	chr7:110787319..110787720	chr7	117930833	117931234
Ell2	chr13:75790842..75791243	chr13	75928290	75928691
Ell2	chr13:75824886..75825287	chr13	75962334	75962735
Eno2	chr6:122871469..122871870	chr6	122821487	122821888
Epc1	chr18:4313884..4314285	chr18	4313882	4314283
Epc1	chr18:4354522..4354923	chr18	4354520	4354921
Epc1	chr18:5344647..5345048	chr18	5344645	5345046
Epc1	chr18:6104491..6104892	chr18	6104489	6104890
Ets2	chr16:95728833..95729234	chr16	95950440	95950841
Ets2	chr16:95835994..95836395	chr16	96057601	96058002
Ets2	chr16:95902149..95902550	chr16	96123756	96124157
Etv3	chr3:87512504..87512905	chr3	87316426	87316827
Etv3	chr3:87515466..87515867	chr3	87319388	87319789
Etv3	chr3:87515822..87516223	chr3	87319744	87320145
Etv3	chr3:87518431..87518832	chr3	87322353	87322754
Etv3	chr3:87521154..87521555	chr3	87325076	87325477
Etv6	chr6:134020843..134021244	chr6	133970861	133971262
Etv6	chr6:134041921..134042322	chr6	133991939	133992340
Etv6	chr6:134043534..134043935	chr6	133993552	133993953
Etv6	chr6:134189698..134190099	chr6	134139716	134140117
Etv6	chr6:134220283..134220684	chr6	134170301	134170702
Ezr	chr17:7161984..7162385	chr17	7366333	7366734
Ezr	chr17:7163895..7164296	chr17	7368244	7368645
F10	chr8:11451999..11452400	chr8	11451999	11452400
F10	chr8:11460871..11461272	chr8	11460871	11461272
F10	chr8:11464207..11464608	chr8	11464207	11464608
F10	chr8:12944271..12944672	chr8	12944271	12944672
F10	chr8:13027726..13028127	chr8	13027726	13028127
F3	chr3:121370388..121370789	chr3	121073306	121073707
F3	chr3:121600401..121600802	chr3	121303319	121303720
Fabp4	chr3:10022511..10022912	chr3	10022511	10022912
Fabp4	chr3:10023091..10023492	chr3	10023091	10023492
Fam102b	chr3:108990524..108990925	chr3	108793442	108793843
Fam102b	chr3:109006342..109006743	chr3	108809260	108809661
Fam102b	chr3:109025692..109026093	chr3	108828610	108829011
Fam102b	chr3:109051925..109052326	chr3	108854843	108855244
Fam162a	chr16:36626795..36627196	chr16	36626881	36627282
Fam210a	chr18:68259537..68259938	chr18	68419191	68419592
Fam46c	chr3:100436656..100437057	chr3	100240579	100240980
Fam46c	chr3:100439052..100439453	chr3	100242975	100243376
Fam46c	chr3:100530036..100530437	chr3	100333959	100334360
Fam98b	chr2:117298926..117299327	chr2	117124662	117125063
Fam98b	chr2:117304371..117304772	chr2	117130107	117130508
Fam98b	chr2:117328627..117329028	chr2	117154363	117154764
Fbxl3	chr14:103015885..103016286	chr14	103415102	103415503
Fbxl3	chr14:103033398..103033799	chr14	103432615	103433016
Fbxl3	chr14:103037012..103037413	chr14	103436229	103436630
Fbxw11	chr11:32349558..32349959	chr11	32249558	32249959
Fbxw11	chr11:32350127..32350528	chr11	32250127	32250528
Fbxw11	chr11:32358339..32358740	chr11	32258339	32258740
Fbxw11	chr11:32409060..32409461	chr11	32309060	32309461
Fbxw11	chr11:32409787..32410188	chr11	32309787	32310188
Fcho1	chr8:71728570..71728971	chr8	74252469	74252870
Fcho1	chr8:71758790..71759191	chr8	74282689	74283090
Fcho1	chr8:72322528..72322929	chr8	74846427	74846828
Fem1c	chr18:46404674..46405075	chr18	46564328	46564729
Fem1c	chr18:46447592..46447993	chr18	46607246	46607647
Fem1c	chr18:46448729..46449130	chr18	46608383	46608784
Fem1c	chr18:46476816..46477217	chr18	46636470	46636871
Fem1c	chr18:46518340..46518741	chr18	46677994	46678395
Fem1c	chr18:46612148..46612549	chr18	46771802	46772203
Fgfrl1	chr5:108406372..108406773	chr5	108835391	108835792
Filip1l	chr16:57175523..57175924	chr16	57175636	57176037
Filip1l	chr16:57337090..57337491	chr16	57337203	57337604
Filip1l	chr16:57575113..57575514	chr16	57575226	57575627
Filip1l	chr16:57576033..57576434	chr16	57576146	57576547
Flrt3	chr2:140790366..140790767	chr2	140616102	140616503
Flrt3	chr2:140846746..140847147	chr2	140672482	140672883
Flt1	chr5:147758769..147759170	chr5	148570345	148570746
Fmnl2	chr2:52938258..52938659	chr2	52797292	52797693
Fmnl2	chr2:52943657..52944058	chr2	52802691	52803092
Fmnl2	chr2:52998061..52998462	chr2	52857095	52857496
Fnbp1l	chr3:122572841..122573242	chr3	122275759	122276160
Fnbp1l	chr3:122573449..122573850	chr3	122276367	122276768
Fndc3a	chr14:72638575..72638976	chr14	73038382	73038783
Fndc3a	chr14:72684754..72685155	chr14	73084561	73084962
Fndc3a	chr14:72697752..72698153	chr14	73097559	73097960
Fndc3a	chr14:72863305..72863706	chr14	73263112	73263513
Fosb	chr7:19319964..19320365	chr7	19905313	19905714
Fosb	chr7:19326332..19326733	chr7	19911681	19912082
Fosb	chr7:19327164..19327565	chr7	19912513	19912914
Fosb	chr7:19933156..19933557	chr7	20518505	20518906
Fosb	chr7:19935361..19935762	chr7	20520710	20521111
Fosl2	chr5:32163321..32163722	chr5	32465694	32466095
Fosl2	chr5:32192068..32192469	chr5	32494441	32494842
Fosl2	chr5:32194299..32194700	chr5	32496672	32497073
Foxf2	chr13:30787539..30787940	chr13	30879408	30879809
Foxf2	chr13:30787911..30788312	chr13	30879780	30880181
Foxf2	chr13:30833555..30833956	chr13	30925424	30925825
Foxf2	chr13:30834295..30834696	chr13	30926164	30926565
Foxf2	chr13:30834911..30835312	chr13	30926780	30927181
Foxf2	chr13:31312508..31312909	chr13	31404377	31404778
Foxp1	chr6:98993233..98993634	chr6	98943227	98943628
Foxp1	chr6:99026623..99027024	chr6	98976617	98977018
Foxp1	chr6:99188782..99189183	chr6	99138776	99139177
Foxp1	chr6:99401793..99402194	chr6	99351787	99352188
Fsd1l	chr4:53303525..53303926	chr4	53316397	53316798
Fubp1	chr3:152122027..152122428	chr3	151784991	151785392
Fubp1	chr3:152469311..152469712	chr3	152132275	152132676
Furin	chr7:80417634..80418035	chr7	87562520	87562921
Furin	chr7:80419271..80419672	chr7	87564157	87564558
Furin	chr7:80500918..80501319	chr7	87645804	87646205
Furin	chr7:80774208..80774609	chr7	87919094	87919495
Furin	chr7:80774839..80775240	chr7	87919725	87920126
Furin	chr7:80775197..80775598	chr7	87920083	87920484
Furin	chr7:80779316..80779717	chr7	87924202	87924603
Furin	chr7:80789074..80789475	chr7	87933960	87934361
Furin	chr7:80828488..80828889	chr7	87973374	87973775
Furin	chr7:80835195..80835596	chr7	87980081	87980482
Furin	chr7:80835978..80836379	chr7	87980864	87981265
Furin	chr7:80838274..80838675	chr7	87983160	87983561
Fus	chr7:127480369..127480770	chr7	134623883	134624284
Fzd1	chr5:4528393..4528794	chr5	4528393	4528794
Fzd1	chr5:4530263..4530664	chr5	4530263	4530664
Fzd1	chr5:4533589..4533990	chr5	4533589	4533990
Gadd45b	chr10:80663690..80664091	chr10	80126435	80126836
Gadd45b	chr10:80756431..80756832	chr10	80219176	80219577
Gadd45b	chr10:80757041..80757442	chr10	80219786	80220187
Gadd45b	chr10:80763576..80763977	chr10	80226321	80226722
Gadd45b	chr10:80933640..80934041	chr10	80396385	80396786
Gadd45b	chr10:80934589..80934990	chr10	80397334	80397735
Gadd45b	chr10:80939652..80940053	chr10	80402397	80402798
Gadd45b	chr10:80962419..80962820	chr10	80425164	80425565
Gadd45b	chr10:80963668..80964069	chr10	80426413	80426814
Gadd45b	chr10:80985222..80985623	chr10	80447967	80448368
Gadd45b	chr10:80985529..80985930	chr10	80448274	80448675
Gadd45b	chr10:81297882..81298283	chr10	80760627	80761028
Glrx	chr13:75712655..75713056	chr13	75850103	75850504
Glrx	chr13:75789413..75789814	chr13	75926861	75927262
Glrx	chr13:75798356..75798757	chr13	75935804	75936205
Glrx	chr13:75824886..75825287	chr13	75962334	75962735
Glrx	chr13:75843306..75843707	chr13	75980754	75981155
Gm12185	chr11:49083212..49083613	chr11	48896714	48897115
Gm12185	chr11:49098806..49099207	chr11	48912308	48912709
Gm129	chr3:95643236..95643637	chr3	95447158	95447559
Gm129	chr3:95647982..95648383	chr3	95451904	95452305
Gm129	chr3:95653636..95654037	chr3	95457558	95457959
Gm129	chr3:96225624..96226025	chr3	96029547	96029948
Gm6034	chr17:36018405..36018806	chr17	36155350	36155751
Gm6377	chrX:109190965..109191366	chrX	106386304	106386705
Gm9844	chr7:24386346..24386747	chr7	25171365	25171766
Gm9844	chr7:24459786..24460187	chr7	25244805	25245206
Gna13	chr11:109366844..109367245	chr11	109228158	109228559
Gna13	chr11:109369035..109369436	chr11	109230349	109230750
Gnai3	chr3:108010314..108010715	chr3	107813232	107813633
Gnai3	chr3:108845404..108845805	chr3	108648322	108648723
Gosr1	chr11:76646029..76646430	chr11	76459531	76459932
Gosr1	chr11:76845494..76845895	chr11	76658996	76659397
Gpalpp1	chr14:76099566..76099967	chr14	76499373	76499774
Gpbp1	chr13:111796984..111797385	chr13	112587192	112587593
Gpd2	chr2:57287327..57287728	chr2	57139738	57140139
Gpd2	chr2:57296841..57297242	chr2	57149252	57149653
Gpd2	chr2:57300411..57300812	chr2	57152822	57153223
Gpd2	chr2:57301542..57301943	chr2	57153953	57154354
Gramd1a	chr7:31156292..31156693	chr7	31941311	31941712
Gramd3	chr18:56455600..56456001	chr18	56615254	56615655
Gramd3	chr18:56458729..56459130	chr18	56618383	56618784
Gsap	chr5:21189004..21189405	chr5	20694822	20695223
Gspt1	chr16:10676652..10677053	chr16	10676745	10677146
Gspt1	chr16:10814725..10815126	chr16	10814818	10815219
Gspt1	chr16:10838583..10838984	chr16	10838676	10839077
Gspt1	chr16:10844048..10844449	chr16	10844141	10844542
Gspt1	chr16:10878193..10878594	chr16	10878286	10878687
Gspt1	chr16:11288180..11288581	chr16	11288273	11288674
Gspt1	chr16:11456204..11456605	chr16	11456297	11456698
Gsr	chr8:33658978..33659379	chr8	34769450	34769851
Gtf2a1	chr12:91305742..91306143	chr12	92544182	92544583
H2-Q4	chr17:34101758..34102159	chr17	34238703	34239104
H2-Q4	chr17:35185942..35186343	chr17	35322887	35323288
H2-Q4	chr17:35197194..35197595	chr17	35334139	35334540
H2-Q4	chr17:35208222..35208623	chr17	35345167	35345568
H2-Q4	chr17:35209769..35210170	chr17	35346714	35347115
H2-Q4	chr17:35210219..35210620	chr17	35347164	35347565
H2-Q4	chr17:35215126..35215527	chr17	35352071	35352472
H2-Q4	chr17:35259063..35259464	chr17	35396008	35396409
H2-T23	chr17:36018405..36018806	chr17	36155350	36155751
H3f3b	chr11:115630966..115631367	chr11	115492280	115492681
H3f3b	chr11:116424011..116424412	chr11	116285325	116285726
Hbegf	chr18:36713377..36713778	chr18	36873031	36873432
Hbegf	chr18:36723611..36724012	chr18	36883265	36883666
Herc6	chr6:57720852..57721253	chr6	57670846	57671247
Hif1a	chr12:73715851..73716252	chr12	74816838	74817239
Hif1a	chr12:73723116..73723517	chr12	74824103	74824504
Hif1a	chr12:73725720..73726121	chr12	74826707	74827108
Hif1a	chr12:73736904..73737305	chr12	74837891	74838292
Hif1a	chr12:73779227..73779628	chr12	74880214	74880615
Hif1a	chr12:73790351..73790752	chr12	74891338	74891739
Hif1a	chr12:73790843..73791244	chr12	74891830	74892231
Higd1a	chr9:121599516..121599917	chr9	121508634	121509035
Higd1a	chr9:123760174..123760575	chr9	123669292	123669693
Higd1a	chr9:123847537..123847938	chr9	123756658	123757059
Higd1a	chr9:123936583..123936984	chr9	123844096	123844497
Higd1a	chr9:124143699..124144100	chr9	124058438	124058839
Hilpda	chr6:29245811..29246212	chr6	29195811	29196212
Hilpda	chr6:29246505..29246906	chr6	29196505	29196906
Hilpda	chr6:29247085..29247486	chr6	29197085	29197486
Hilpda	chr6:29248364..29248765	chr6	29198364	29198765
Hilpda	chr6:29264325..29264726	chr6	29214325	29214726
Hivep1	chr13:42244281..42244682	chr13	42339650	42340051
Hivep1	chr13:42245593..42245994	chr13	42340962	42341363
Hivep1	chr13:42248616..42249017	chr13	42343985	42344386
Hivep1	chr13:42253813..42254214	chr13	42349182	42349583
Hivep1	chr13:42258464..42258865	chr13	42353833	42354234
Hivep1	chr13:42292895..42293296	chr13	42388264	42388665
Hivep2	chr10:14018655..14019056	chr10	13738461	13738862
Hivep2	chr10:14385693..14386094	chr10	14105499	14105900
Hk1	chr10:62066255..62066656	chr10	61529003	61529404
Hk1	chr10:62323740..62324141	chr10	61786488	61786889
Hk1	chr10:62338649..62339050	chr10	61801397	61801798
Hk1	chr10:62339215..62339616	chr10	61801963	61802364
Hk1	chr10:62502196..62502597	chr10	61964944	61965345
Hk1	chr10:62503832..62504233	chr10	61966580	61966981
Hk1	chr10:62506227..62506628	chr10	61968975	61969376
Hk1	chr10:62541537..62541938	chr10	62004285	62004686
Hk2	chr6:82854364..82854765	chr6	82804358	82804759
Hk3	chr13:54809062..54809463	chr13	54910423	54910824
Hk3	chr13:54818739..54819140	chr13	54920100	54920501
Hk3	chr13:55016581..55016982	chr13	55117942	55118343
Hk3	chr13:55018451..55018852	chr13	55119812	55120213
Hk3	chr13:55190182..55190583	chr13	55291543	55291944
Hnrnpab	chr11:51832496..51832897	chr11	51645998	51646399
Hnrnpab	chr11:51833422..51833823	chr11	51646924	51647325
Hnrnpab	chr11:51855201..51855602	chr11	51668703	51669104
Hnrnpll	chr17:79754941..79755342	chr17	80154281	80154682
Hnrnpll	chr17:79781874..79782275	chr17	80181214	80181615
Hnrnpll	chr17:80173683..80174084	chr17	80573023	80573424
Hnrnpm	chr17:33903964..33904365	chr17	34040909	34041310
Hspa1a	chr17:34347896..34348297	chr17	34484841	34485242
Hspa1a	chr17:35197194..35197595	chr17	35334139	35334540
Hspa1a	chr17:35208222..35208623	chr17	35345167	35345568
Hspa1a	chr17:35209769..35210170	chr17	35346714	35347115
Hspa1a	chr17:35210219..35210620	chr17	35347164	35347565
Hspa1a	chr17:35215126..35215527	chr17	35352071	35352472
Hspa1b	chr17:35209769..35210170	chr17	35346714	35347115
Hspa1b	chr17:35210219..35210620	chr17	35347164	35347565
Htr2a	chr14:73838874..73839275	chr14	74238681	74239082
Htr2a	chr14:74697164..74697565	chr14	75096971	75097372
Htr2a	chr14:74736826..74737227	chr14	75136633	75137034
Htra4	chr8:25027994..25028395	chr8	26138466	26138867
Htra4	chr8:25069973..25070374	chr8	26180445	26180846
Htra4	chr8:25105472..25105873	chr8	26215944	26216345
Icam1	chr9:21136418..21136819	chr9	20940862	20941263
Icam1	chr9:21361100..21361501	chr9	21165544	21165945
Id2	chr12:25098709..25099110	chr12	25783574	25783975
Id2	chr12:25189036..25189437	chr12	25873901	25874302
Id2	chr12:25190326..25190727	chr12	25875191	25875592
Id2	chr12:25207722..25208123	chr12	25892587	25892988
Id2	chr12:25295775..25296176	chr12	25980640	25981041
Id2	chr12:25299579..25299980	chr12	25984444	25984845
Ifi204	chr1:173441352..173441753	chr1	175371483	175371884
Ifi35	chr11:100931558..100931959	chr11	100792872	100793273
Ifi47	chr11:49083212..49083613	chr11	48896714	48897115
Ifi47	chr11:49098806..49099207	chr11	48912308	48912709
Ifih1	chr2:62648663..62649064	chr2	62486720	62487121
Ifih1	chr2:62680964..62681365	chr2	62519021	62519422
Ifit1	chr19:34442107..34442508	chr19	34516597	34516998
Ifit1	chr19:34552856..34553257	chr19	34627346	34627747
Ifit1	chr19:34553508..34553909	chr19	34627998	34628399
Ifnb1	chr4:88215458..88215859	chr4	87861362	87861763
Igf2bp2	chr16:21590770..21591171	chr16	21590843	21591244
Igf2bp2	chr16:21595618..21596019	chr16	21595691	21596092
Igf2bp2	chr16:21692727..21693128	chr16	21692800	21693201
Igf2bp2	chr16:22097592..22097993	chr16	22097665	22098066
Igf2bp2	chr16:22108175..22108576	chr16	22108248	22108649
Igf2bp2	chr16:22116910..22117311	chr16	22116983	22117384
Igf2bp2	chr16:22119548..22119949	chr16	22119621	22120022
Igf2bp2	chr16:22124307..22124708	chr16	22124380	22124781
Il12a	chr3:68556944..68557345	chr3	68360866	68361267
Il12a	chr3:68633525..68633926	chr3	68437447	68437848
Il12a	chr3:68637880..68638281	chr3	68441802	68442203
Il17ra	chr6:120453096..120453497	chr6	120403114	120403515
Il17ra	chr6:120466638..120467039	chr6	120416656	120417057
Il1a	chr2:128312549..128312950	chr2	128138285	128138686
Il1a	chr2:128318978..128319379	chr2	128144714	128145115
Il1a	chr2:128389976..128390377	chr2	128215712	128216113
Il1a	chr2:128413010..128413411	chr2	128238746	128239147
Il1a	chr2:128467477..128467878	chr2	128293213	128293614
Il1a	chr2:129319955..129320356	chr2	129145691	129146092
Il1a	chr2:129330649..129331050	chr2	129156385	129156786
Il1a	chr2:129338243..129338644	chr2	129163979	129164380
Il1a	chr2:129410351..129410752	chr2	129236087	129236488
Il1a	chr2:129489895..129490296	chr2	129315631	129316032
Il1a	chr2:129587995..129588396	chr2	129413731	129414132
Il1b	chr2:128389976..128390377	chr2	128215712	128216113
Il1b	chr2:128413010..128413411	chr2	128238746	128239147
Il1b	chr2:128467477..128467878	chr2	128293213	128293614
Il1b	chr2:129319955..129320356	chr2	129145691	129146092
Il1b	chr2:129330649..129331050	chr2	129156385	129156786
Il1b	chr2:129338243..129338644	chr2	129163979	129164380
Il1b	chr2:129410351..129410752	chr2	129236087	129236488
Il1b	chr2:129489895..129490296	chr2	129315631	129316032
Il1f6	chr2:24304532..24304933	chr2	24160052	24160453
Il1f6	chr2:24315469..24315870	chr2	24170989	24171390
Il1f6	chr2:24341391..24341792	chr2	24196911	24197312
Il1f9	chr2:24304532..24304933	chr2	24160052	24160453
Il1f9	chr2:24341391..24341792	chr2	24196911	24197312
Il1rn	chr2:24304532..24304933	chr2	24160052	24160453
Il1rn	chr2:24341391..24341792	chr2	24196911	24197312
Il1rn	chr2:24777363..24777764	chr2	24632883	24633284
Il27	chr7:126597515..126597916	chr7	133741029	133741430
Il27	chr7:126603574..126603975	chr7	133747088	133747489
Il6	chr5:29861451..29861852	chr5	30187991	30188392
Il6	chr5:29880031..29880432	chr5	30206571	30206972
Il6	chr5:29948251..29948652	chr5	30274791	30275192
Il7r	chr15:9524112..9524513	chr15	9453867	9454268
Il7r	chr15:9554300..9554701	chr15	9484055	9484456
Ilf3	chr9:20943362..20943763	chr9	20747806	20748207
Ilf3	chr9:20944748..20945149	chr9	20749192	20749593
Ilf3	chr9:20997140..20997541	chr9	20801584	20801985
Ilf3	chr9:21135945..21136346	chr9	20940389	20940790
